sembrada,cosechada,siniestrada,volumenproduccion,latitud,longitud,altitud,cicloproductivo_Otoño-Invierno,cicloproductivo_Perennes,cicloproductivo_Primavera-Verano,modalidad_Riego,modalidad_Temporal,cultivo_Avena forrajera en verde,cultivo_Frijol,cultivo_Maíz grano,cultivo_Pastos y praderas,cultivo_Tomate rojo (jitomate),K=8 Cluster Labels,rendimiento,estado
3386.0,3386.0,0.0,29819.84,20.212743,-101.130933,1743.0,0,0,1,1,0,0,0,1,0,0,2,8.81,Guanajuato
2403.0,2403.0,0.0,32326.1,20.284568,-99.015604,1941.0,0,0,1,1,0,0,0,1,0,0,2,13.45,Hidalgo
2416.5,2416.5,0.0,31377.75,20.245186,-99.088894,1975.0,0,0,1,1,0,0,0,1,0,0,2,12.98,Hidalgo
5020.0,5020.0,0.0,29618.0,19.713924,-99.953294,2571.0,0,0,1,1,0,0,0,1,0,0,2,5.9,México
135.0,135.0,0.0,6903.2,21.932378,-99.992923,991.0,0,0,1,1,0,0,0,0,0,1,4,51.13,San Luis Potosí
8560.0,6100.0,2460.0,30350.0,20.34145,-102.022554,1680.0,0,0,1,0,1,0,0,1,0,0,2,4.98,Michoacán
94.0,94.0,0.0,11757.0,20.431795,-101.725044,1770.0,0,0,1,1,0,0,0,0,0,1,4,125.07,Guanajuato
3510.0,3510.0,0.0,29835.0,21.029579,-101.878099,1764.0,0,0,1,1,0,0,0,1,0,0,2,8.5,Guanajuato
13960.0,13960.0,0.0,184272.0,22.7719,-103.567233,1889.0,0,0,1,0,1,1,0,0,0,0,5,13.2,Zacatecas
5309.0,4771.0,161.0,141827.94,18.777099,-103.159555,1020.0,0,1,0,0,1,0,0,0,1,0,6,29.73,Michoacán
13685.0,13685.0,0.0,8800.0,22.949037,-102.702263,2169.0,0,0,1,0,1,0,1,0,0,0,1,0.64,Zacatecas
2254.0,2254.0,0.0,23471.54,24.888313,-105.074205,1991.0,0,0,1,1,0,0,0,1,0,0,2,10.41,Durango
6650.0,6650.0,0.0,30590.0,19.786978,-99.66777,2729.0,0,0,1,0,1,0,0,1,0,0,2,4.6,México
13100.0,13100.0,0.0,27641.0,20.720048,-100.761202,1787.0,0,0,1,0,1,0,0,1,0,0,2,2.11,Guanajuato
3976.0,3976.0,0.0,28627.2,18.682768,-97.65354,1948.0,0,0,1,1,0,0,0,1,0,0,2,7.2,Puebla
9796.0,9365.0,431.0,25847.4,16.685089,-98.404421,323.0,0,0,1,0,1,0,0,1,0,0,2,2.76,Guerrero
5210.0,5210.0,0.0,31885.2,21.356389,-101.929167,1876.0,0,0,1,1,0,0,0,1,0,0,2,6.12,Jalisco
3095.0,3095.0,0.0,6097.15,24.808808,-107.393756,57.0,1,0,0,1,0,0,1,0,0,0,7,1.97,Sinaloa
7950.0,7950.0,0.0,326983.5,17.945353,-96.170537,34.0,0,1,0,0,1,0,0,0,1,0,6,41.13,Oaxaca
3131.0,3131.0,0.0,29194.07,20.368274,-101.496867,1719.0,0,0,1,1,0,0,0,1,0,0,2,9.32,Guanajuato
10870.0,10840.0,30.0,29268.0,18.151858,-95.142684,39.0,0,0,1,0,1,0,0,1,0,0,2,2.7,Veracruz
5880.0,5880.0,0.0,27233.4,19.2525,-103.375,716.0,0,0,1,0,1,0,0,1,0,0,2,4.63,Jalisco
5248.0,5248.0,0.0,174338.56,18.617842,-100.207831,1827.0,0,1,0,0,1,0,0,0,1,0,6,33.22,México
3750.0,3750.0,0.0,28011.0,20.760833,-104.851667,1380.0,0,0,1,0,1,0,0,1,0,0,2,7.47,Jalisco
5286.0,5286.0,0.0,28068.66,19.449722,-104.356944,589.0,0,0,1,0,1,0,0,1,0,0,2,5.31,Jalisco
8073.0,8073.0,0.0,32211.27,18.465244,-100.578513,262.0,0,0,1,0,1,0,0,1,0,0,2,3.99,Guerrero
2442.0,2442.0,0.0,22818.57,24.527263,-104.778374,1940.0,0,0,1,1,0,0,0,1,0,0,2,9.34,Durango
325.0,325.0,0.0,12675.0,21.943512,-100.011022,998.0,1,0,0,1,0,0,0,0,0,1,4,39.0,San Luis Potosí
3850.0,3850.0,0.0,28525.9,29.357019,-107.738655,2148.0,0,0,1,1,0,0,0,1,0,0,7,7.41,Chihuahua
640.0,640.0,0.0,33580.0,22.835051,-105.777876,22.0,1,0,0,1,0,0,0,0,0,1,4,52.47,Sinaloa
9807.0,9807.0,0.0,21967.68,17.594232,-99.177682,1406.0,0,0,1,0,1,0,0,1,0,0,2,2.24,Guerrero
16317.0,16317.0,0.0,221421.69,28.764943,-107.253622,2023.0,0,0,1,0,1,1,0,0,0,0,5,13.57,Chihuahua
11000.0,11000.0,0.0,25300.0,20.446733,-97.322749,171.0,1,0,0,0,1,0,0,1,0,0,3,2.3,Veracruz
3320.0,3320.0,0.0,26261.2,18.884692,-97.728416,2036.0,0,0,1,1,0,0,0,1,0,0,2,7.91,Puebla
